1 1140.5, 526.5, 47.0, 58.0
1 1168.5, 567.5, 67.0, 66.0
1 1468.5, 567.5, 52.0, 55.0
1 421.5, 575.5, 69.0, 62.0
1 1387.5, 585.5, 48.0, 54.0
1 1428.5, 587.5, 52.0, 71.0
1 500.5, 589.5, 97.0, 53.0
1 1602.5, 588.5, 78.0, 44.0
1 1349.5, 591.5, 48.0, 57.0
1 1187.5, 598.5, 105.0, 54.0
1 1601.5, 613.5, 82.0, 43.0
1 550.5, 617.5, 119.0, 52.0
1 1520.5, 617.5, 82.0, 59.0
1 987.5, 622.5, 106.0, 41.0
1 789.5, 625.5, 88.0, 46.0
1 1473.5, 627.5, 46.0, 84.0
1 413.5, 631.5, 108.0, 45.0
1 1307.5, 638.5, 69.0, 53.0
1 1638.5, 638.5, 61.0, 72.0
1 1664.0, 648.5, 89.5, 57.0
1 1262.5, 644.5, 46.0, 64.0
1 1395.5, 647.5, 49.0, 50.0
1 903.5, 651.5, 54.0, 60.0
1 1552.5, 651.5, 52.0, 72.0
1 1588.5, 650.5, 61.0, 70.0
1 315.5, 657.5, 92.0, 68.0
1 126.5, 670.5, 83.0, 26.0
1 209.5, 673.5, 81.0, 68.0
1 931.5, 673.5, 68.0, 56.0
1 934.5, 688.5, 78.0, 62.0
1 1029.5, 679.5, 53.0, 80.0
1 574.5, 676.5, 55.0, 65.0
1 1172.5, 677.5, 98.0, 41.0
1 0.0, 682.0, 27.5, 44.5
1 998.5, 682.5, 40.0, 63.0
1 1118.5, 682.5, 48.0, 68.0
1 348.5, 684.5, 125.0, 53.0
1 1071.5, 689.5, 44.0, 66.0
1 100.5, 691.5, 113.0, 48.0
1 1269.5, 690.5, 91.0, 60.0
1 1696.5, 692.5, 65.0, 36.0
1 1132.5, 697.5, 78.0, 69.0
1 872.5, 699.5, 59.0, 72.0
1 1757.5, 700.5, 51.0, 26.0
1 1742.5, 716.5, 98.0, 45.0
1 802.5, 703.5, 56.0, 78.0
1 1305.5, 704.5, 102.0, 68.0
1 2018.5, 705.5, 56.0, 66.0
1 1618.5, 710.5, 75.0, 73.0
1 754.5, 712.5, 43.0, 61.0
1 2065.5, 720.5, 113.0, 51.0
1 1526.5, 723.5, 85.0, 60.0
1 1634.5, 732.5, 79.5, 73.0
1 1709.5, 724.75, 45.04, 44.5
1 37.5, 738.5, 111.0, 71.0
1 642.5, 739.5, 84.0, 62.0
1 516.5, 740.5, 61.0, 70.0
1 1167.5, 742.5, 77.0, 36.0
1 984.5, 749.5, 72.0, 68.0
1 1959.5, 748.5, 57.0, 37.0
1 1887.5, 750.5, 58.0, 79.0
1 1770.5, 753.5, 42.0, 83.0
1 1222.5, 755.5, 82.0, 36.0
1 1227.5, 775.5, 103.0, 39.0
1 340.5, 757.5, 120.0, 57.0
1 1842.5, 756.5, 56.0, 84.0
1 1807.5, 758.5, 43.0, 70.0
1 1659.5, 762.5, 64.0, 85.0
1 1721.5, 763.5, 46.0, 70.0
1 284.5, 766.5, 86.0, 42.0
1 1462.5, 766.5, 116.0, 54.0
1 563.5, 768.5, 70.0, 69.0
1 701.5, 777.5, 85.0, 84.0
1 1991.5, 781.5, 66.0, 73.0
1 1910.5, 783.5, 49.0, 74.0
1 1384.5, 786.5, 93.0, 42.0
1 1958.5, 792.5, 49.0, 100.0
1 603.5, 797.5, 110.0, 47.0
1 475.5, 802.5, 76.0, 47.0
1 1095.5, 806.5, 85.0, 75.0
1 268.5, 809.5, 92.0, 51.0
1 2023.5, 813.5, 111.0, 76.0
1 807.5, 817.5, 57.0, 61.0
1 1392.5, 818.5, 93.0, 46.0
1 1621.5, 836.5, 59.0, 86.0
1 1166.5, 838.5, 109.0, 83.0
1 1694.5, 840.5, 122.0, 45.0
1 1107.5, 848.5, 82.0, 82.0
1 1549.5, 869.5, 57.0, 85.0
1 1413.5, 858.5, 121.0, 42.0
1 477.5, 864.5, 140.0, 46.0
1 948.5, 864.5, 108.0, 62.0
1 1465.5, 869.5, 108.0, 68.0
1 1271.5, 873.5, 74.0, 92.0
1 1810.5, 872.5, 54.0, 73.0
1 1684.5, 888.5, 62.0, 85.0
1 2314.5, 888.5, 76.0, 86.0
1 1561.5, 891.5, 75.0, 113.0
1 302.5, 897.5, 130.0, 54.0
1 718.5, 910.5, 59.0, 81.0
1 1181.5, 925.5, 53.0, 64.0
1 2127.5, 924.5, 64.0, 105.0
1 2379.5, 925.5, 102.0, 70.0
1 1385.5, 929.5, 116.0, 44.0
1 1988.5, 929.5, 63.0, 73.0
1 1291.5, 947.5, 69.0, 94.0
1 1727.5, 949.5, 109.0, 69.0
1 2096.5, 961.5, 60.0, 83.0
1 1456.5, 967.5, 83.0, 87.0
1 1219.5, 968.5, 80.0, 87.0
1 2018.5, 974.5, 68.0, 104.0
1 2068.5, 975.5, 49.0, 90.0
1 266.5, 976.5, 122.0, 70.0
1 2462.5, 978.5, 61.0, 98.0
1 1566.5, 981.5, 102.0, 63.0
1 588.5, 983.5, 52.0, 86.0
1 1378.5, 1004.5, 75.0, 100.0
1 1840.5, 1006.5, 76.0, 98.0
1 1719.5, 1008.5, 88.0, 96.0
1 1524.5, 1037.5, 112.0, 82.0
1 1862.5, 1039.5, 102.0, 91.0
1 2583.5, 1038.5, 66.0, 90.0
1 1588.5, 1049.5, 96.0, 92.0
1 2357.5, 1049.5, 90.0, 102.0
1 501.5, 1056.5, 69.0, 81.0
1 814.5, 1077.5, 69.0, 121.0
1 2526.5, 1078.5, 100.0, 92.0
1 705.5, 1089.5, 62.0, 84.0
1 54.5, 1102.5, 106.0, 99.0
1 612.5, 1103.5, 97.0, 98.0
1 2621.5, 1104.5, 96.0, 88.0
1 1731.5, 1106.5, 79.0, 102.0
1 173.5, 1114.5, 97.0, 105.0
1 387.5, 1125.5, 105.0, 54.0
1 919.5, 1127.5, 102.0, 102.0
1 1178.5, 1130.5, 101.0, 89.0
1 1588.5, 1132.5, 90.0, 63.0
1 330.5, 1136.5, 44.0, 84.0
1 454.5, 1139.5, 102.0, 94.0
1 702.5, 1140.5, 113.0, 97.0
1 857.5, 1139.5, 80.0, 96.0
1 1913.5, 1146.5, 74.0, 112.0
1 2171.5, 1146.5, 64.0, 97.0
1 2030.5, 1156.5, 60.0, 105.0
1 218.5, 1159.5, 108.0, 103.0
1 2441.5, 1161.5, 51.0, 106.0
1 2678.5, 1165.5, 135.0, 63.0
1 2903.5, 1167.5, 70.0, 95.0
1 1956.5, 1170.5, 78.0, 118.0
1 2360.5, 1170.5, 76.0, 119.0
1 1065.5, 1178.5, 98.0, 84.0
1 335.5, 1182.5, 110.0, 78.0
1 181.53, 1244.5, 170.97, 108.0
1 131.5, 1270.5, 107.0, 116.0
1 2106.5, 1184.5, 65.0, 117.0
1 615.5, 1189.5, 78.0, 96.0
1 1356.5, 1188.5, 108.0, 101.0
1 3021.5, 1189.5, 68.0, 120.0
1 2776.5, 1190.5, 92.0, 96.0
1 907.5, 1194.5, 102.0, 101.0
1 1592.5, 1195.5, 81.0, 98.0
1 0.0, 1201.5, 55.5, 96.0
1 1476.5, 1203.5, 51.0, 99.0
1 1172.5, 1204.5, 82.0, 83.0
1 489.5, 1212.5, 63.0, 100.0
1 440.5, 1230.5, 58.0, 71.0
1 228.5, 1217.5, 105.0, 78.0
1 1394.5, 1220.5, 78.0, 73.0
1 3.5, 1222.5, 114.0, 99.0
1 74.5, 1226.5, 103.0, 80.0
1 0.5, 1301.5, 88.0, 61.0
