1 972.5, 869.88, 25.25, 30.87
1 712.25, 696.5, 35.75, 32.5
1 707.38, 690.38, 26.96, 34.0
1 703.12, 648.12, 25.38, 32.19
1 687.25, 673.75, 30.0, 29.37
1 667.5, 663.0, 29.0, 32.88
1 621.0, 695.56, 27.56, 40.88
1 575.19, 683.38, 25.25, 20.87
1 592.0, 687.44, 21.25, 18.18
1 602.62, 684.38, 13.38, 14.06
1 653.25, 663.12, 18.72, 23.63
1 664.88, 646.19, 19.15, 33.25
1 661.62, 622.62, 18.13, 40.32
1 642.0, 607.94, 32.0, 28.94
1 647.44, 639.44, 16.81, 33.5
1 635.62, 653.75, 14.88, 35.5
1 619.94, 657.06, 19.37, 33.75
1 632.06, 629.0, 32.38, 23.88
1 604.62, 640.25, 27.88, 29.06
1 619.25, 627.94, 26.75, 15.56
1 636.69, 600.75, 30.75, 27.37
1 619.12, 608.62, 24.13, 28.69
1 612.06, 598.69, 36.32, 25.0
1 582.75, 640.12, 33.0, 30.26
1 586.0, 617.75, 20.62, 32.87
1 608.38, 580.12, 34.74, 20.76
1 556.5, 629.88, 32.62, 27.37
1 549.38, 628.12, 31.56, 25.88
1 564.62, 599.75, 33.76, 29.87
1 585.0, 568.0, 23.88, 32.25
1 584.25, 557.69, 24.25, 34.31
1 571.19, 563.81, 14.75, 29.31
1 545.88, 568.0, 28.06, 32.62
1 510.44, 637.62, 34.12, 18.07
1 495.62, 623.12, 31.5, 32.0
1 534.62, 609.25, 35.76, 29.63
1 526.94, 605.5, 35.75, 23.31
1 521.44, 593.0, 23.06, 29.5
1 508.44, 582.62, 31.18, 25.76
1 495.94, 580.31, 32.62, 27.0
1 506.75, 558.94, 37.25, 27.0
1 482.0, 564.56, 21.31, 36.44
1 451.25, 576.56, 34.44, 32.56
1 456.62, 565.69, 28.5, 31.69
1 442.5, 558.25, 40.19, 23.31
